DOMAIN/WEBSITE|STATUS|IP ADDRESS
deprem112.com.tr|Tracking|-
deprem112.com|Tracking|62.108.55.208
ankaradepremyardim.com|Tracking|77.245.159.45
deprem.fun|Tracking|-
depremzedeara.com|Tracking|199.36.158.100
depremkayiplari.com|Tracking|159.253.38.71
depremproje.com|Tracking|172.67.174.201, 104.21.67.127
deprem.pages.dev|Tracking|172.66.47.57, 172.66.44.199
depremihbar.org|Tracking|176.98.42.167
depremzede.dolunaynetwork.com.tr|Tracking|5.105.5.200
depremkonteynerevi.com|Tracking|94.73.150.116
deprem-ihtiyac-listesi.pages.dev|Tracking|-
depremdensonra.com|Tracking|142.132.218.117
afetclinic.com|Tracking|109.70.148.174
afetyardim.com|Tracking|76.223.105.230, 13.248.243.5
deprempaketi.com|Tracking|93.89.226.17
depremeyardim.com|Tracking|93.89.226.17
afad.bagis-yap.net|Tracking|2606:4700:3037::ac43:939d
afaderorgtr.dernekweb.com|Tracking|188.132.193.112
depremiletisim.com|Tracking|-
https://yardim.b-cdn.net/afad/yardim|Tracking|169.150.236.98
yardimyerleri.com|Tracking|89.252.138.204
acilyolyardimturkiye.com|Tracking|85.159.66.93
acilyolyardimturkiye.xyz|Tracking|85.159.66.93
depremkonum.com|Tracking|44.195.18.190
test.depremdensonra.com|Tracking|142.132.218.117
antideprem.com|Tracking|185.230.63.107, 185.230.63.171, 185.230.63.186
deprem.owltech.com.tr|Tracking|104.21.18.137, 172.67.182.38
deprem.dev|Tracking|104.21.58.60, 172.67.168.9
marasdepremi.com|Tracking|93.89.226.17
malatyadepremi.com|Tracking|93.89.226.17
depremzede.net|Tracking|94.199.200.155
depremyardim.co|Tracking|76.76.21.21
acildeprem.com|Tracking|-
depremyardim.com|Tracking|172.67.216.130, 104.21.16.228
antepdepremi.com|Tracking|93.89.226.17
deprembilgi.org|Tracking|145.14.151.126
hataydepremi.com|Tracking|93.89.226.17
afadzede.com|Tracking|198.38.83.167
depremformu.com|Tracking|104.21.50.237, 172.67.213.218
adresdeprem.com|Tracking|104.19.240.93, 104.19.241.93
depremihtiyaci.com|Tracking|13.248.243.5, 76.223.105.230
depremdayanisma.com|Tracking|45.84.206.176
xn--depremyardm-8zb.com|Tracking|160.153.138.204
deprem.us|Tracking|77.245.149.40
deprem-ihbar-haritasi.com|Tracking|35.204.150.5
depremraporum.com|Tracking|76.223.105.230, 13.248.243.5
depremenkaz.xyz|Tracking|145.14.151.210
depremdestek.org|Tracking|104.21.22.186, 172.67.206.158
writelypro.afadigital.host|Tracking|67.227.208.52
www.turkeyearthquake.com|Tracking|-
x-rnfvcvu.org|Tracking|-
depremkabini.net|Tracking|-
depremyardimsiteleri.com|Tracking|-
depremlojistik.com|Tracking|-
deprem.live|Tracking|-
bagisahbap.org|Tracking|-
afadzede.com|Tracking|-
afetlist.xyz|Tracking|-
afetbildirim.xyz|Tracking|-
afetkayip.com|Tracking|-
kayserideprem.org|Tracking|-
afetonlem.com|Tracking|-
afetkoordinasyon.com|Tracking|-
afetmerkezi.online|Tracking|-
afetonlem.xyz|Tracking|-
afetmerkezi.xyz|Tracking|-
afetzedehastanesorgu.com|Tracking|-
depremyardimi.org|Tracking|-
depremyardimlasma.com|Tracking|-
